step-length, eps2c, eps3c
1e-20, 0.0, 0.0
2.68269579528e-20, 0.0, 0.0
7.19685673001e-20, 0.0, 0.0
1.93069772888e-19, 0.0, 0.0
5.17947467923e-19, 0.0, 0.0
1.38949549437e-18, 0.0, 0.0
3.72759372031e-18, 0.0, 0.0
1e-17, 0.0, 0.0
2.68269579528e-17, 0.0, 0.0
7.19685673001e-17, 0.0, 0.0
1.93069772888e-16, 0.575037204435, 0.575037204435
5.17947467923e-16, 0.21435050722, 0.21435050722
1.38949549437e-15, 0.319604641863, 0.319604641863
3.72759372031e-15, 0.327622970398, 0.327622970398
1e-14, 0.333066907388, 0.333066907388
2.68269579528e-14, 0.335215290354, 0.335215290354
7.19685673001e-14, 0.333212376341, 0.333212376341
1.93069772888e-13, 0.333521578572, 0.333521578572
5.17947467923e-13, 0.333315038727, 0.333315038727
1.38949549437e-12, 0.333347641464, 0.333347641464
3.72759372031e-12, 0.333341480427, 0.333341480427
1e-11, 0.333333360913, 0.333333360913
2.68269579528e-11, 0.333332290884, 0.333332290884
7.19685673001e-11, 0.333334245682, 0.333334245682
1.93069772888e-10, 0.333333541406, 0.333333541406
5.17947467923e-10, 0.33333325852, 0.33333325852
1.38949549437e-09, 0.333333339156, 0.333333339156
3.72759372031e-09, 0.333333349421, 0.333333349421
1e-08, 0.333333327607, 0.333333327607
2.68269579528e-08, 0.333333329637, 0.333333333776
7.19685673001e-08, 0.333333321635, 0.333333333205
1.93069772888e-07, 0.333333302766, 0.333333333243
5.17947467923e-07, 0.333333252089, 0.333333333435
1.38949549437e-06, 0.333333115033, 0.333333333363
3.72759372031e-06, 0.333332747607, 0.333333333337
1e-05, 0.333331761992, 0.333333333341
2.68269579528e-05, 0.33332911793, 0.333333333378
7.19685673001e-05, 0.333322024884, 0.333333333653
0.000193069772888, 0.333302997646, 0.333333335634
0.000517947467923, 0.333251962298, 0.333333349893
0.00138949549437, 0.333115114313, 0.333333452512
0.00372759372031, 0.332748455299, 0.333334191047
0.01, 0.331768140319, 0.333339506181
0.0268269579528, 0.329161972004, 0.3333777588
0.0719685673001, 0.322337804448, 0.333653075682
0.193069772888, 0.305172555788, 0.33563531422
0.517947467923, 0.266217674756, 0.34989557328
1.38949549437, 0.196384121819, 0.433063093653
3.72759372031, 0.113583579107, 0.340903017113
10.0, 0.0528092767363, 0.146912828478
